waktu,beras,telur,gula,daging,cabai
2018-11-17,11850.0,22000.0,12200.0,32000.0,20750.0
2018-11-18,11850.0,22000.0,12200.0,32000.0,20750.0
2018-11-19,11850.0,22000.0,12200.0,32000.0,20750.0
2018-11-20,11850.0,22000.0,12200.0,32000.0,21650.0
2018-11-21,11850.0,22000.0,12200.0,32000.0,20250.0
2018-11-22,11850.0,22000.0,12200.0,32000.0,20500.0
2018-11-23,11850.0,22000.0,12200.0,32000.0,21150.0
2018-11-24,11850.0,22000.0,12200.0,32000.0,21150.0
2018-11-25,11850.0,22000.0,12200.0,32000.0,21150.0
2018-11-26,11850.0,22000.0,12200.0,32000.0,19900.0
2018-11-27,11850.0,22000.0,11900.0,32000.0,20000.0
2018-11-28,12000.0,22000.0,11650.0,33000.0,20000.0
2018-11-29,12000.0,22000.0,11650.0,33000.0,19400.0
2018-11-30,12000.0,23000.0,11650.0,32750.0,19750.0
2018-12-01,12000.0,23000.0,11650.0,32750.0,19750.0
2018-12-02,12000.0,23000.0,11650.0,32750.0,19750.0
2018-12-03,12000.0,23000.0,11650.0,33000.0,19750.0
2018-12-04,12000.0,24200.0,11650.0,32000.0,20250.0
2018-12-05,11950.0,23950.0,11650.0,32000.0,20750.0
2018-12-06,11950.0,24200.0,11650.0,32000.0,21150.0
2018-12-07,11950.0,24700.0,11650.0,32000.0,21900.0
2018-12-08,11950.0,24700.0,11650.0,32000.0,21900.0
2018-12-09,11950.0,24700.0,11650.0,32000.0,21900.0
2018-12-10,11950.0,24000.0,11650.0,32000.0,22150.0
2018-12-11,11950.0,24000.0,11650.0,32000.0,22250.0
2018-12-12,11950.0,24000.0,11650.0,33000.0,22400.0
2018-12-13,11950.0,24000.0,11650.0,33000.0,22750.0
2018-12-14,11950.0,24000.0,11650.0,34000.0,23000.0
2018-12-15,11950.0,24000.0,11650.0,34000.0,23000.0
2018-12-16,11950.0,24000.0,11650.0,34000.0,23000.0
2018-12-17,11950.0,24000.0,11650.0,34000.0,23000.0
2018-12-18,11950.0,24000.0,11650.0,35000.0,28650.0
2018-12-19,11950.0,24000.0,11650.0,35000.0,28750.0
2018-12-20,11950.0,24000.0,11650.0,35000.0,28900.0
2018-12-21,11950.0,24750.0,11650.0,36000.0,33150.0
2018-12-22,11950.0,24750.0,11650.0,36000.0,33150.0
2018-12-23,11950.0,24750.0,11650.0,36000.0,33150.0
2018-12-24,11950.0,24750.0,11650.0,36000.0,33150.0
2018-12-25,11950.0,24750.0,11650.0,35500.0,32500.0
2018-12-26,11950.0,24750.0,11650.0,37000.0,33150.0
2018-12-27,11950.0,24750.0,11650.0,37000.0,32400.0
2018-12-28,11950.0,25000.0,11650.0,36000.0,29000.0
2018-12-29,11950.0,25000.0,11650.0,36000.0,29000.0
2018-12-30,11950.0,25000.0,11650.0,36000.0,29000.0
2018-12-31,11950.0,25000.0,11650.0,36000.0,29000.0
2019-01-01,11950.0,25000.0,11650.0,36000.0,28150.0
2019-01-02,11950.0,25000.0,11650.0,35000.0,32150.0
2019-01-03,11950.0,25000.0,11650.0,35000.0,31900.0
2019-01-04,11950.0,24850.0,11650.0,34250.0,27500.0
2019-01-05,11950.0,24850.0,11650.0,34250.0,27500.0
2019-01-06,11950.0,24850.0,11650.0,34250.0,27500.0
2019-01-07,11950.0,25000.0,11650.0,34750.0,27000.0
2019-01-08,11950.0,24700.0,11650.0,33500.0,26150.0
2019-01-09,11950.0,24000.0,11650.0,33000.0,27250.0
2019-01-10,11950.0,24000.0,11650.0,33000.0,27000.0
2019-01-11,11950.0,24000.0,11650.0,33000.0,25000.0
2019-01-12,11950.0,24000.0,11650.0,33000.0,25000.0
2019-01-13,11950.0,24000.0,11650.0,33000.0,25000.0
2019-01-14,11950.0,24000.0,11650.0,33000.0,25500.0
2019-01-15,11950.0,24000.0,11600.0,33000.0,25000.0
2019-01-16,11950.0,24000.0,11600.0,33000.0,25000.0
2019-01-17,11950.0,23000.0,11600.0,33000.0,25500.0
2019-01-18,11950.0,22750.0,11600.0,32500.0,21750.0
2019-01-19,11950.0,22750.0,11600.0,32500.0,21750.0
2019-01-20,11950.0,22750.0,11600.0,32500.0,21750.0
2019-01-21,11950.0,22750.0,11600.0,32500.0,21750.0
2019-01-22,11950.0,22350.0,11600.0,32500.0,20650.0
2019-01-23,11950.0,22200.0,11600.0,32500.0,20500.0
2019-01-24,11950.0,22000.0,11600.0,32500.0,20150.0
2019-01-25,11950.0,22000.0,11600.0,32500.0,19650.0
2019-01-26,11950.0,22000.0,11600.0,32500.0,19650.0
2019-01-27,11950.0,22000.0,11600.0,32500.0,19650.0
2019-01-28,11950.0,22000.0,11600.0,32000.0,18250.0
2019-01-29,11950.0,22000.0,11600.0,32000.0,17750.0
2019-01-30,11950.0,22000.0,11600.0,32000.0,18000.0
2019-01-31,11950.0,22000.0,11600.0,32000.0,17500.0
2019-02-01,11950.0,21000.0,11600.0,31000.0,16150.0
2019-02-02,11950.0,21000.0,11600.0,31000.0,16150.0
2019-02-03,11950.0,21000.0,11600.0,31000.0,16150.0
2019-02-04,11950.0,21000.0,11600.0,31000.0,16150.0
2019-02-05,11950.0,21000.0,11600.0,32500.0,16250.0
2019-02-06,11950.0,21000.0,11600.0,32500.0,16400.0
2019-02-07,11950.0,21000.0,11450.0,33000.0,17000.0
2019-02-08,11950.0,21000.0,11450.0,33000.0,18250.0
2019-02-09,11950.0,21000.0,11450.0,33000.0,18250.0
2019-02-10,11950.0,21000.0,11450.0,33000.0,18250.0
2019-02-11,11950.0,21000.0,11450.0,32000.0,15400.0
2019-02-12,11950.0,21000.0,11450.0,32000.0,15650.0
2019-02-13,11950.0,21000.0,11450.0,32000.0,15750.0
2019-02-14,11950.0,21000.0,11450.0,32000.0,15250.0
2019-02-15,11950.0,21000.0,11450.0,32000.0,18250.0
2019-02-16,11950.0,21000.0,11450.0,32000.0,18250.0
2019-02-17,11950.0,21000.0,11450.0,32000.0,18250.0
2019-02-18,11950.0,21000.0,11450.0,31500.0,18250.0
2019-02-19,11950.0,21000.0,11450.0,31000.0,18250.0
2019-02-20,11950.0,21000.0,11450.0,31000.0,18250.0
2019-02-21,11950.0,21000.0,11450.0,31000.0,18000.0
2019-02-22,11950.0,21000.0,11450.0,31000.0,18150.0
2019-02-23,11950.0,21000.0,11450.0,31000.0,18150.0
2019-02-24,11950.0,21000.0,11450.0,31000.0,18150.0
2019-02-25,11950.0,20700.0,11450.0,31000.0,18150.0
2019-02-26,11950.0,20700.0,11450.0,31000.0,18250.0
2019-02-27,11950.0,20700.0,11450.0,30000.0,18250.0
2019-02-28,11950.0,20700.0,11450.0,30000.0,18500.0
2019-03-01,11950.0,21000.0,11450.0,30000.0,18250.0
2019-03-02,11950.0,21000.0,11450.0,30000.0,18250.0
2019-03-03,11950.0,21000.0,11450.0,30000.0,18250.0
2019-03-04,11950.0,21000.0,11450.0,29000.0,18250.0
2019-03-05,11950.0,21000.0,11450.0,29000.0,18500.0
2019-03-06,11950.0,21000.0,11450.0,29000.0,18500.0
2019-03-07,11950.0,21000.0,11450.0,29000.0,20400.0
2019-03-08,11950.0,21000.0,11450.0,29500.0,20750.0
2019-03-09,11950.0,21000.0,11450.0,29500.0,20750.0
2019-03-10,11950.0,21000.0,11450.0,29500.0,20750.0
